image_path,class_name,class_index,instance_name,split,width,height
apple/apple_2/apple_2_1_1_crop.png,apple,0,apple_2,train,83,81
apple/apple_2/apple_2_1_6_crop.png,apple,0,apple_2,train,85,82
apple/apple_2/apple_2_1_11_crop.png,apple,0,apple_2,train,88,82
apple/apple_2/apple_2_1_16_crop.png,apple,0,apple_2,train,89,82
apple/apple_2/apple_2_1_21_crop.png,apple,0,apple_2,train,85,81
apple/apple_2/apple_2_1_26_crop.png,apple,0,apple_2,train,80,82
apple/apple_2/apple_2_1_31_crop.png,apple,0,apple_2,train,82,82
apple/apple_2/apple_2_1_36_crop.png,apple,0,apple_2,train,84,81
apple/apple_2/apple_2_1_41_crop.png,apple,0,apple_2,train,80,81
apple/apple_2/apple_2_1_46_crop.png,apple,0,apple_2,train,80,81
apple/apple_2/apple_2_1_51_crop.png,apple,0,apple_2,train,80,81
apple/apple_2/apple_2_1_56_crop.png,apple,0,apple_2,train,78,82
apple/apple_2/apple_2_1_61_crop.png,apple,0,apple_2,train,83,80
apple/apple_2/apple_2_1_66_crop.png,apple,0,apple_2,train,80,80
apple/apple_2/apple_2_1_71_crop.png,apple,0,apple_2,train,81,79
apple/apple_2/apple_2_1_76_crop.png,apple,0,apple_2,train,82,80
apple/apple_2/apple_2_1_81_crop.png,apple,0,apple_2,train,85,76
apple/apple_2/apple_2_1_86_crop.png,apple,0,apple_2,train,85,77
apple/apple_2/apple_2_1_91_crop.png,apple,0,apple_2,train,84,78
apple/apple_2/apple_2_1_96_crop.png,apple,0,apple_2,train,84,79
apple/apple_2/apple_2_1_101_crop.png,apple,0,apple_2,train,85,80
apple/apple_2/apple_2_1_106_crop.png,apple,0,apple_2,train,85,79
apple/apple_2/apple_2_1_111_crop.png,apple,0,apple_2,train,86,80
apple/apple_2/apple_2_1_116_crop.png,apple,0,apple_2,train,83,80
apple/apple_2/apple_2_1_121_crop.png,apple,0,apple_2,train,85,82
apple/apple_2/apple_2_1_126_crop.png,apple,0,apple_2,train,81,82
apple/apple_2/apple_2_1_131_crop.png,apple,0,apple_2,train,85,82
apple/apple_2/apple_2_1_136_crop.png,apple,0,apple_2,train,81,83
apple/apple_2/apple_2_1_141_crop.png,apple,0,apple_2,train,80,83
apple/apple_2/apple_2_1_146_crop.png,apple,0,apple_2,train,81,83
apple/apple_2/apple_2_1_151_crop.png,apple,0,apple_2,train,80,84
apple/apple_2/apple_2_1_156_crop.png,apple,0,apple_2,train,82,83
apple/apple_2/apple_2_1_161_crop.png,apple,0,apple_2,train,86,83
apple/apple_2/apple_2_1_166_crop.png,apple,0,apple_2,train,81,83
apple/apple_2/apple_2_1_171_crop.png,apple,0,apple_2,train,79,82
apple/apple_2/apple_2_1_176_crop.png,apple,0,apple_2,train,83,82
apple/apple_2/apple_2_1_181_crop.png,apple,0,apple_2,train,85,82
apple/apple_2/apple_2_1_186_crop.png,apple,0,apple_2,train,85,81
apple/apple_2/apple_2_1_191_crop.png,apple,0,apple_2,train,86,81
apple/apple_2/apple_2_1_196_crop.png,apple,0,apple_2,train,85,82
apple/apple_2/apple_2_1_201_crop.png,apple,0,apple_2,train,86,81
apple/apple_2/apple_2_2_1_crop.png,apple,0,apple_2,train,81,83
apple/apple_2/apple_2_2_6_crop.png,apple,0,apple_2,train,82,81
apple/apple_2/apple_2_2_11_crop.png,apple,0,apple_2,train,82,79
apple/apple_2/apple_2_2_16_crop.png,apple,0,apple_2,train,83,81
apple/apple_2/apple_2_2_21_crop.png,apple,0,apple_2,train,83,81
apple/apple_2/apple_2_2_26_crop.png,apple,0,apple_2,train,83,82
apple/apple_2/apple_2_2_31_crop.png,apple,0,apple_2,train,82,81
apple/apple_2/apple_2_2_36_crop.png,apple,0,apple_2,train,83,82
apple/apple_2/apple_2_2_41_crop.png,apple,0,apple_2,train,80,82
apple/apple_2/apple_2_2_46_crop.png,apple,0,apple_2,train,78,82
apple/apple_2/apple_2_2_51_crop.png,apple,0,apple_2,train,79,83
apple/apple_2/apple_2_2_56_crop.png,apple,0,apple_2,train,78,84
apple/apple_2/apple_2_2_61_crop.png,apple,0,apple_2,train,79,84
apple/apple_2/apple_2_2_66_crop.png,apple,0,apple_2,train,78,83
apple/apple_2/apple_2_2_71_crop.png,apple,0,apple_2,train,78,85
apple/apple_2/apple_2_2_76_crop.png,apple,0,apple_2,train,78,81
apple/apple_2/apple_2_2_81_crop.png,apple,0,apple_2,train,81,81
apple/apple_2/apple_2_2_86_crop.png,apple,0,apple_2,train,79,80
apple/apple_2/apple_2_2_91_crop.png,apple,0,apple_2,train,80,79
apple/apple_2/apple_2_2_96_crop.png,apple,0,apple_2,train,80,79
apple/apple_2/apple_2_2_101_crop.png,apple,0,apple_2,train,81,79
apple/apple_2/apple_2_2_106_crop.png,apple,0,apple_2,train,83,79
apple/apple_2/apple_2_2_111_crop.png,apple,0,apple_2,train,82,78
apple/apple_2/apple_2_2_116_crop.png,apple,0,apple_2,train,80,79
apple/apple_2/apple_2_2_121_crop.png,apple,0,apple_2,train,81,79
apple/apple_2/apple_2_2_126_crop.png,apple,0,apple_2,train,81,80
apple/apple_2/apple_2_2_131_crop.png,apple,0,apple_2,train,83,80
apple/apple_2/apple_2_2_136_crop.png,apple,0,apple_2,train,82,82
apple/apple_2/apple_2_2_141_crop.png,apple,0,apple_2,train,80,83
apple/apple_2/apple_2_2_146_crop.png,apple,0,apple_2,train,79,83
apple/apple_2/apple_2_2_151_crop.png,apple,0,apple_2,train,76,83
apple/apple_2/apple_2_2_156_crop.png,apple,0,apple_2,train,76,83
apple/apple_2/apple_2_2_161_crop.png,apple,0,apple_2,train,76,85
apple/apple_2/apple_2_2_166_crop.png,apple,0,apple_2,train,77,84
apple/apple_2/apple_2_2_171_crop.png,apple,0,apple_2,train,77,84
apple/apple_2/apple_2_2_176_crop.png,apple,0,apple_2,train,78,83
apple/apple_2/apple_2_2_181_crop.png,apple,0,apple_2,train,78,84
apple/apple_2/apple_2_2_186_crop.png,apple,0,apple_2,train,78,83
apple/apple_2/apple_2_2_191_crop.png,apple,0,apple_2,train,78,82
apple/apple_2/apple_2_2_196_crop.png,apple,0,apple_2,train,81,82
apple/apple_2/apple_2_2_201_crop.png,apple,0,apple_2,train,81,80
apple/apple_2/apple_2_2_206_crop.png,apple,0,apple_2,train,82,80
apple/apple_2/apple_2_2_211_crop.png,apple,0,apple_2,train,83,81
apple/apple_2/apple_2_4_1_crop.png,apple,0,apple_2,train,76,72
apple/apple_2/apple_2_4_6_crop.png,apple,0,apple_2,train,76,74
apple/apple_2/apple_2_4_11_crop.png,apple,0,apple_2,train,75,75
apple/apple_2/apple_2_4_16_crop.png,apple,0,apple_2,train,80,76
apple/apple_2/apple_2_4_21_crop.png,apple,0,apple_2,train,81,76
apple/apple_2/apple_2_4_26_crop.png,apple,0,apple_2,train,78,76
apple/apple_2/apple_2_4_31_crop.png,apple,0,apple_2,train,79,76
apple/apple_2/apple_2_4_36_crop.png,apple,0,apple_2,train,79,77
apple/apple_2/apple_2_4_41_crop.png,apple,0,apple_2,train,76,74
apple/apple_2/apple_2_4_46_crop.png,apple,0,apple_2,train,75,76
apple/apple_2/apple_2_4_51_crop.png,apple,0,apple_2,train,75,75
apple/apple_2/apple_2_4_56_crop.png,apple,0,apple_2,train,71,76
apple/apple_2/apple_2_4_61_crop.png,apple,0,apple_2,train,76,76
apple/apple_2/apple_2_4_66_crop.png,apple,0,apple_2,train,74,78
apple/apple_2/apple_2_4_71_crop.png,apple,0,apple_2,train,74,78
apple/apple_2/apple_2_4_76_crop.png,apple,0,apple_2,train,74,76
apple/apple_2/apple_2_4_81_crop.png,apple,0,apple_2,train,75,75
apple/apple_2/apple_2_4_86_crop.png,apple,0,apple_2,train,75,74
apple/apple_2/apple_2_4_91_crop.png,apple,0,apple_2,train,76,73
apple/apple_2/apple_2_4_96_crop.png,apple,0,apple_2,train,78,72
apple/apple_2/apple_2_4_101_crop.png,apple,0,apple_2,train,76,73
apple/apple_2/apple_2_4_106_crop.png,apple,0,apple_2,train,77,72
apple/apple_2/apple_2_4_111_crop.png,apple,0,apple_2,train,77,72
apple/apple_2/apple_2_4_116_crop.png,apple,0,apple_2,train,79,72
apple/apple_2/apple_2_4_121_crop.png,apple,0,apple_2,train,77,73
apple/apple_2/apple_2_4_126_crop.png,apple,0,apple_2,train,77,73
apple/apple_2/apple_2_4_131_crop.png,apple,0,apple_2,train,80,72
apple/apple_2/apple_2_4_136_crop.png,apple,0,apple_2,train,77,74
apple/apple_2/apple_2_4_141_crop.png,apple,0,apple_2,train,78,73
apple/apple_2/apple_2_4_146_crop.png,apple,0,apple_2,train,75,73
apple/apple_2/apple_2_4_151_crop.png,apple,0,apple_2,train,74,74
apple/apple_2/apple_2_4_156_crop.png,apple,0,apple_2,train,75,76
apple/apple_2/apple_2_4_161_crop.png,apple,0,apple_2,train,72,74
apple/apple_2/apple_2_4_166_crop.png,apple,0,apple_2,train,72,77
apple/apple_2/apple_2_4_171_crop.png,apple,0,apple_2,train,72,77
apple/apple_2/apple_2_4_176_crop.png,apple,0,apple_2,train,73,79
apple/apple_2/apple_2_4_181_crop.png,apple,0,apple_2,train,72,78
apple/apple_2/apple_2_4_186_crop.png,apple,0,apple_2,train,73,75
apple/apple_2/apple_2_4_191_crop.png,apple,0,apple_2,train,74,77
apple/apple_2/apple_2_4_196_crop.png,apple,0,apple_2,train,73,76
apple/apple_2/apple_2_4_201_crop.png,apple,0,apple_2,train,73,76
